stocks,url
CNMCGoldmine,https://www.shareinvestor.com/fundamental/factsheet.html?counter=5TP.SI
UGHealthcare,https://www.shareinvestor.com/fundamental/factsheet.html?counter=8K7.SI
Riverstone,https://www.shareinvestor.com/fundamental/factsheet.html?counter=AP4.SI
TopGlove,https://www.shareinvestor.com/fundamental/factsheet.html?counter=BVA.SI
MedtecsIntl,https://www.shareinvestor.com/fundamental/factsheet.html?counter=546.SI
IFAST,https://www.shareinvestor.com/fundamental/factsheet.html?counter=AIY.SI
Venture,http://www.shareinvestor.com/fundamental/factsheet.html?counter=V03.SI
APACRealty,https://www.shareinvestor.com/fundamental/factsheet.html?counter=CLN.SI
PropNex,https://www.shareinvestor.com/fundamental/factsheet.html?counter=OYY.SI
AEM,https://www.shareinvestor.com/fundamental/factsheet.html?counter=AWX.SI
DBS,https://www.shareinvestor.com/fundamental/factsheet.html?counter=D05.SI
UOB,https://www.shareinvestor.com/fundamental/factsheet.html?counter=U11.SI
OCBCBank,https://www.shareinvestor.com/fundamental/factsheet.html?counter=O39.SI
SIA,https://www.shareinvestor.com/fundamental/factsheet.html?counter=C6L.SI
Creative,https://www.shareinvestor.com/fundamental/factsheet.html?counter=C76.SI
#reits
#Specialized REITS
KeppelDCReit,https://www.shareinvestor.com/fundamental/factsheet.html?counter=AJBU.SI
#Industrial REITS
MapletreeIndTr,https://www.shareinvestor.com/fundamental/factsheet.html?counter=ME8U.SI
AscendasReit,https://www.shareinvestor.com/fundamental/factsheet.html?counter=A17U.SI
#China Retail REITS
CapLandChinaTrust,https://www.shareinvestor.com/fundamental/factsheet.html
#Retail REITS
FrasersCptTr,https://www.shareinvestor.com/fundamental/factsheet.html?counter=J69U.SI
MapletreeComTr,https://www.shareinvestor.com/fundamental/factsheet.html?counter=N2IU.SI
CapLandIntComT,https://www.shareinvestor.com/fundamental/factsheet.html?counter=C38U.SI
#Hospitality REITS
#Logistics
FrasersL&CTr,https://www.shareinvestor.com/fundamental/factsheet.html?counter=BUOU.SI
MapletreeLogTr,https://www.shareinvestor.com/fundamental/factsheet.html?counter=M44U.SI
#Health Care REITS
ParkwayLifeReit,https://www.shareinvestor.com/fundamental/factsheet.html?counter=C2PU.SI
#FTSE
#FTSESTREITIndex,https://www.shareinvestor.com/fundamental/factsheet.html?counter=FSTAS8670.SI
